Timestamp,Steps,Avg_Reward_50,Epsilon,Done_Count
11:57:52,66225,13.4740,0.0513,0
11:57:57,66271,21.1480,0.0513,0
11:58:02,66296,6.5300,0.0513,0
11:58:07,66342,20.5250,0.0512,0
11:58:14,66380,6.4210,0.0512,0
11:58:19,66426,19.0870,0.0512,0
11:58:24,66472,17.3020,0.0512,0
11:58:29,66497,9.7170,0.0512,0
11:58:34,66543,18.7260,0.0512,0
11:58:39,66569,13.3460,0.0512,0
11:58:46,66608,17.4840,0.0512,0
11:58:51,66654,20.6970,0.0512,0
11:58:56,66679,9.2130,0.0512,0
11:59:01,66725,20.6320,0.0512,0
11:59:08,66767,14.6630,0.0512,0
11:59:13,66813,18.7390,0.0512,0
11:59:19,66845,11.9750,0.0512,0
11:59:24,66891,18.3670,0.0512,0
11:59:29,66937,14.7330,0.0512,0
11:59:34,66962,5.7400,0.0512,0
11:59:39,67008,19.0760,0.0512,0
11:59:46,67052,17.7910,0.0512,0
11:59:51,67098,20.4990,0.0512,0
11:59:57,67132,19.1560,0.0512,0
12:00:02,67178,17.1710,0.0511,0
12:00:07,67224,13.9770,0.0511,0
12:00:13,67256,6.0880,0.0511,0
12:00:18,67302,21.0570,0.0511,0
12:00:23,67327,8.5950,0.0511,0
12:00:28,67373,20.6060,0.0511,0
12:00:33,67419,7.8130,0.0511,0
12:00:38,67444,5.2790,0.0511,0
12:00:43,67490,20.5400,0.0511,0
12:00:48,67536,7.9080,0.0511,0
12:00:53,67561,9.1290,0.0511,0
12:00:59,67591,13.7450,0.0511,0
12:01:05,67626,15.2730,0.0511,0
12:01:10,67672,20.2600,0.0511,0
12:01:15,67718,10.0700,0.0511,0
12:01:21,67748,10.4040,0.0511,0
12:01:26,67794,22.9080,0.0511,0
12:01:31,67818,7.3880,0.0511,0
12:01:38,67859,19.2780,0.0511,0
12:01:43,67905,21.8110,0.0511,0
12:01:48,67930,7.4070,0.0511,0
12:01:53,67976,21.8390,0.0511,0
12:01:58,68002,10.0920,0.0511,0
12:02:03,68048,22.7350,0.0511,0
12:02:08,68094,12.3250,0.0510,0
